Heuristic ID,mk00.txt_Makespan,mk01.txt_Makespan,mk02.txt_Makespan,mk03.txt_Makespan,mk04.txt_Makespan,mk05.txt_Makespan,mk06.txt_Makespan,mk07.txt_Makespan,mk08.txt_Makespan,mk09.txt_Makespan,mk10.txt_Makespan,mk11.txt_Makespan,mk12.txt_Makespan,mk13.txt_Makespan,mk14.txt_Makespan,mk15.txt_Makespan,mk00.txt_Separation,mk01.txt_Separation,mk02.txt_Separation,mk03.txt_Separation,mk04.txt_Separation,mk05.txt_Separation,mk06.txt_Separation,mk07.txt_Separation,mk08.txt_Separation,mk09.txt_Separation,mk10.txt_Separation,mk11.txt_Separation,mk12.txt_Separation,mk13.txt_Separation,mk14.txt_Separation,mk15.txt_Separation,mk00.txt_Balance,mk01.txt_Balance,mk02.txt_Balance,mk03.txt_Balance,mk04.txt_Balance,mk05.txt_Balance,mk06.txt_Balance,mk07.txt_Balance,mk08.txt_Balance,mk09.txt_Balance,mk10.txt_Balance,mk11.txt_Balance,mk12.txt_Balance,mk13.txt_Balance,mk14.txt_Balance,mk15.txt_Balance
9,26,54,50,331,79,214,76,194,574,387,411,725,610,572,846,533,12,155,107,2062,387,1068,209,1174,4824,2784,2754,7025,6339,5761,8335,5185,7.566372975210778,14.974979131871937,9.5524865872714,90.4267659490264,21.444332001720174,31.960913628993776,22.489108474992957,32.11479409867048,164.54208812772524,89.97116204651356,67.42618185838495,37.334166657366275,168.7823746722388,103.94734243837117,200.45862970254538,92.9241984989199
27,38,84,71,576,220,475,241,337,2118,1559,1041,2070,1708,1350,2954,1914,1,10,32,764,138,75,81,79,607,1145,401,720,1554,1352,3140,3593,6.568020165079344,12.42868545833477,6.506407098647712,46.47042069962354,18.70786933351845,19.42292459955503,15.929846201391902,17.53396703544295,150.41498152333983,59.36867861086349,45.10245453363572,46.35256195724246,161.02363180601782,79.34034282759308,190.16666374525266,66.73709613101248
2,38,84,71,576,220,475,241,337,2118,1559,1041,2070,1708,1350,2954,1914,1,10,32,764,138,75,81,79,607,1145,401,720,1554,1352,3140,3593,6.568020165079344,12.42868545833477,6.506407098647712,46.47042069962354,18.70786933351845,19.42292459955503,15.929846201391902,17.53396703544295,150.41498152333983,59.36867861086349,45.10245453363572,46.35256195724246,161.02363180601782,79.34034282759308,190.16666374525266,66.73709613101248
30,24,49,53,239,85,214,94,212,593,361,321,710,595,526,827,521,10,89,45,1203,352,578,124,1240,3933,2190,1559,3711,5025,3082,6637,4112,4.8790937227681495,10.98483803552272,3.39934634239519,26.424420523447623,17.102174569334743,15.449514555480375,10.101980003939822,19.26032190800559,163.8732572582984,28.150310833097386,40.043777696808334,39.75223264170202,151.70497684650957,33.82617329820209,155.40075789890972,33.43743743504012
24,38,81,78,517,216,470,243,337,2113,1553,1024,2071,1650,1390,2924,1766,1,37,35,462,135,95,156,22,536,1134,405,720,1631,1146,4272,3062,6.568020165079344,13.02134998974974,6.420453428086074,64.56476883719169,21.917102340409876,21.563858652847824,18.62900963551203,25.53898979991182,154.96339671350668,65.74617859617393,52.75046511878292,56.86123459792269,169.81934518776123,64.39479792654062,195.13669283066392,65.83697036366928
45,25,45,37,213,78,184,104,202,527,366,287,664,550,515,772,453,4,124,103,1138,345,1465,166,2425,5413,2589,2103,12030,8240,7071,9163,4440,7.717224601860151,9.044642367476756,1.9720265943665387,12.922243419778162,18.505066873697054,5.612486080160912,18.069034285207383,3.8987177379235853,163.5724628942291,43.62155430518266,50.72792440115786,24.78386571945547,146.33143886397073,24.613817257792423,170.40297336998947,40.626209383708066
35,24,49,53,239,85,214,94,212,575,385,304,710,595,526,827,518,10,89,45,1203,352,578,124,1240,3931,2185,1534,3711,5022,3082,6602,4101,4.8790937227681495,10.98483803552272,3.39934634239519,26.424420523447623,17.102174569334743,15.449514555480375,10.101980003939822,19.26032190800559,163.8732572582984,30.974344222275313,45.245519389143816,39.75223264170202,153.9683084274163,33.82617329820209,156.3173979085146,34.798850555729565
20,24,55,49,257,92,217,80,206,596,381,300,689,596,517,828,498,10,116,45,1260,376,580,152,1263,3902,2419,1599,3702,4971,3157,6910,3839,6.618576550554926,13.997023493109763,6.922186552431729,43.57106264483344,21.810261346439663,23.759208741033444,15.394804318340652,28.308302669005077,168.4181304571057,66.19667665374146,51.786912415403386,54.10138630386471,159.4360373315895,38.44333492297462,180.4970175192192,59.93381534845101
47,24,45,45,239,81,204,94,212,554,398,340,714,598,553,823,442,10,109,88,1203,269,1054,124,1240,4474,2500,2160,6910,5988,5033,7923,3744,4.8790937227681495,7.234178138070235,6.027713773341708,26.424420523447623,13.40475661845451,19.4164878389476,10.101980003939822,19.26032190800559,160.41828041516348,42.26830964209475,46.49944458923609,29.38434957592221,146.51174014392157,39.72467746879765,164.22767394348887,42.557359984953116
17,24,45,44,257,75,222,80,206,571,406,301,713,541,531,823,447,10,119,86,1260,287,1065,152,1263,4307,2653,1954,6910,5766,5154,7993,4214,6.618576550554926,8.89600409672168,7.187952884282608,43.57106264483344,16.65035660278782,28.508770580296865,15.394804318340652,28.308302669005077,160.76583692124285,90.08801252108962,51.68931344066143,38.11876178471699,147.62144153204846,61.48690917585629,175.55241066100143,68.6758569901631
